hsa-let-7b,A1CF,ENSG00000148584
hsa-let-7c,A1CF,ENSG00000148584
hsa-let-7d,A1CF,ENSG00000148584
hsa-let-7e,A1CF,ENSG00000148584
hsa-let-7g,A1CF,ENSG00000148584
hsa-let-7i,A1CF,ENSG00000148584
hsa-let-7b,ABCA5,ENSG00000154265
hsa-let-7c,ABCA5,ENSG00000154265
hsa-let-7d,ABCA5,ENSG00000154265
hsa-let-7e,ABCA5,ENSG00000154265
hsa-let-7g,ABCA5,ENSG00000154265
hsa-let-7i,ABCA5,ENSG00000154265
hsa-let-7b,ABCC10,ENSG00000124574
hsa-let-7c,ABCC10,ENSG00000124574
hsa-let-7d,ABCC10,ENSG00000124574
hsa-let-7e,ABCC10,ENSG00000124574
hsa-let-7g,ABCC10,ENSG00000124574
hsa-let-7i,ABCC10,ENSG00000124574
hsa-let-7b,ABCC2,ENSG00000023839
hsa-let-7c,ABCC2,ENSG00000023839
hsa-let-7d,ABCC2,ENSG00000023839
hsa-let-7e,ABCC2,ENSG00000023839
hsa-let-7g,ABCC2,ENSG00000023839
hsa-let-7i,ABCC2,ENSG00000023839
hsa-let-7b,ABCC5,ENSG00000114770
hsa-let-7c,ABCC5,ENSG00000114770
hsa-let-7d,ABCC5,ENSG00000114770
hsa-let-7e,ABCC5,ENSG00000114770
hsa-let-7g,ABCC5,ENSG00000114770
hsa-let-7i,ABCC5,ENSG00000114770
hsa-let-7b,ABCG4,ENSG00000172350
hsa-let-7c,ABCG4,ENSG00000172350
hsa-let-7d,ABCG4,ENSG00000172350
hsa-let-7e,ABCG4,ENSG00000172350
hsa-let-7g,ABCG4,ENSG00000172350
hsa-let-7i,ABCG4,ENSG00000172350
hsa-let-7b,ABL2,ENSG00000143322
hsa-let-7c,ABL2,ENSG00000143322
hsa-let-7d,ABL2,ENSG00000143322
hsa-let-7e,ABL2,ENSG00000143322
hsa-let-7g,ABL2,ENSG00000143322
hsa-let-7i,ABL2,ENSG00000143322
hsa-let-7b,ABT1,ENSG00000146109;ENSG00000292169
hsa-let-7c,ABT1,ENSG00000146109;ENSG00000292169
hsa-let-7d,ABT1,ENSG00000146109;ENSG00000292169
hsa-let-7e,ABT1,ENSG00000146109;ENSG00000292169
hsa-let-7g,ABT1,ENSG00000146109;ENSG00000292169
hsa-let-7i,ABT1,ENSG00000146109;ENSG00000292169
hsa-let-7b,ACER2,ENSG00000177076
hsa-let-7c,ACER2,ENSG00000177076
hsa-let-7d,ACER2,ENSG00000177076
hsa-let-7e,ACER2,ENSG00000177076
hsa-let-7g,ACER2,ENSG00000177076
hsa-let-7i,ACER2,ENSG00000177076
hsa-let-7b,ACSL6,ENSG00000164398
hsa-let-7c,ACSL6,ENSG00000164398
hsa-let-7d,ACSL6,ENSG00000164398
hsa-let-7e,ACSL6,ENSG00000164398
hsa-let-7g,ACSL6,ENSG00000164398
hsa-let-7i,ACSL6,ENSG00000164398
hsa-let-7b,ACTR2,ENSG00000138071
hsa-let-7c,ACTR2,ENSG00000138071
hsa-let-7d,ACTR2,ENSG00000138071
hsa-let-7e,ACTR2,ENSG00000138071
hsa-let-7g,ACTR2,ENSG00000138071
hsa-let-7i,ACTR2,ENSG00000138071
hsa-let-7b,ACVR1C,ENSG00000123612
hsa-let-7c,ACVR1C,ENSG00000123612
hsa-let-7d,ACVR1C,ENSG00000123612
hsa-let-7e,ACVR1C,ENSG00000123612
hsa-let-7g,ACVR1C,ENSG00000123612
hsa-let-7i,ACVR1C,ENSG00000123612
hsa-let-7b,ACVR2A,ENSG00000121989
hsa-let-7c,ACVR2A,ENSG00000121989
hsa-let-7d,ACVR2A,ENSG00000121989
hsa-let-7e,ACVR2A,ENSG00000121989
hsa-let-7g,ACVR2A,ENSG00000121989
hsa-let-7i,ACVR2A,ENSG00000121989
hsa-let-7b,ACVR2B,ENSG00000114739
hsa-let-7c,ACVR2B,ENSG00000114739
hsa-let-7d,ACVR2B,ENSG00000114739
hsa-let-7e,ACVR2B,ENSG00000114739
hsa-let-7g,ACVR2B,ENSG00000114739
hsa-let-7i,ACVR2B,ENSG00000114739
hsa-let-7b,ACVRL1,ENSG00000139567
hsa-let-7c,ACVRL1,ENSG00000139567
hsa-let-7d,ACVRL1,ENSG00000139567
hsa-let-7e,ACVRL1,ENSG00000139567
hsa-let-7g,ACVRL1,ENSG00000139567
hsa-let-7i,ACVRL1,ENSG00000139567
hsa-let-7b,ADAMTS1,ENSG00000154734
hsa-let-7c,ADAMTS1,ENSG00000154734
hsa-let-7d,ADAMTS1,ENSG00000154734
hsa-let-7e,ADAMTS1,ENSG00000154734
hsa-let-7g,ADAMTS1,ENSG00000154734
hsa-let-7i,ADAMTS1,ENSG00000154734
hsa-let-7b,ADAMTS14,ENSG00000138316
hsa-let-7c,ADAMTS14,ENSG00000138316
hsa-let-7d,ADAMTS14,ENSG00000138316
hsa-let-7e,ADAMTS14,ENSG00000138316
hsa-let-7g,ADAMTS14,ENSG00000138316
hsa-let-7i,ADAMTS14,ENSG00000138316
hsa-let-7b,ADIPOR2,ENSG00000006831;ENSG00000285070
hsa-let-7c,ADIPOR2,ENSG00000006831;ENSG00000285070
hsa-let-7d,ADIPOR2,ENSG00000006831;ENSG00000285070
hsa-let-7e,ADIPOR2,ENSG00000006831;ENSG00000285070
hsa-let-7g,ADIPOR2,ENSG00000006831;ENSG00000285070
hsa-let-7i,ADIPOR2,ENSG00000006831;ENSG00000285070
hsa-let-7b,ADPRH,ENSG00000144843
hsa-let-7c,ADPRH,ENSG00000144843
hsa-let-7d,ADPRH,ENSG00000144843
hsa-let-7e,ADPRH,ENSG00000144843
hsa-let-7g,ADPRH,ENSG00000144843
hsa-let-7i,ADPRH,ENSG00000144843
hsa-let-7b,AEN,ENSG00000181026
hsa-let-7c,AEN,ENSG00000181026
hsa-let-7d,AEN,ENSG00000181026
hsa-let-7e,AEN,ENSG00000181026
hsa-let-7g,AEN,ENSG00000181026
hsa-let-7i,AEN,ENSG00000181026
hsa-let-7b,AFF4,ENSG00000072364
hsa-let-7c,AFF4,ENSG00000072364
hsa-let-7d,AFF4,ENSG00000072364
hsa-let-7e,AFF4,ENSG00000072364
hsa-let-7g,AFF4,ENSG00000072364
hsa-let-7i,AFF4,ENSG00000072364
hsa-let-7b,AHCTF1,ENSG00000153207
hsa-let-7c,AHCTF1,ENSG00000153207
hsa-let-7d,AHCTF1,ENSG00000153207
hsa-let-7e,AHCTF1,ENSG00000153207
hsa-let-7g,AHCTF1,ENSG00000153207
hsa-let-7i,AHCTF1,ENSG00000153207
hsa-let-7b,AHCYL2,ENSG00000158467
hsa-let-7c,AHCYL2,ENSG00000158467
hsa-let-7d,AHCYL2,ENSG00000158467
hsa-let-7e,AHCYL2,ENSG00000158467
hsa-let-7g,AHCYL2,ENSG00000158467
hsa-let-7i,AHCYL2,ENSG00000158467
hsa-let-7b,AHR,ENSG00000106546
hsa-let-7c,AHR,ENSG00000106546
hsa-let-7d,AHR,ENSG00000106546
